card_id,text,raw_text,type,rank
0,Investor Portal,Investor Portal,a_inner_text,A
0,,javascript:;,href,C
1,Investor Portal,Investor Portal,a_inner_text,A
1,salterbrothers,https://app.junipersquare.com/i/salterbrothers,href,C
2,Investor Portal (Pre 2024),Investor Portal (Pre 2024),a_inner_text,A
2,investor portal,/investor-portal/,href,C
3,Salter Brothers,Salter Brothers,a_inner_text,A
3,salterbrothers,https://salterbrothers.com.au/,href,D
4,Salter Brothers,Salter Brothers,a_inner_text,A
4,salterbrothers,https://salterbrothers.com.au/,href,D
5,About,About,a_inner_text,A
5,about,https://salterbrothers.com.au/about/,href,C
6,About Us,About Us,a_inner_text,A
6,about,https://salterbrothers.com.au/about/,href,C
7,ESG,ESG,a_inner_text,A
7,about,https://salterbrothers.com.au/about/#esg,href,C
8,Ratings & Awards,Ratings & Awards,a_inner_text,A
8,ratings awards,https://salterbrothers.com.au/ratings-awards/,href,C
9,Our Boards,Our Boards,a_inner_text,A
9,our boards,https://salterbrothers.com.au/about/our-boards/,href,C
10,Our Senior Team,Our Senior Team,a_inner_text,A
10,our team,https://salterbrothers.com.au/about/our-team/,href,C
11,Investors,Investors,a_inner_text,A
11,investors,https://salterbrothers.com.au/investors/,href,C
12,Funds Management,Funds Management,a_inner_text,A
12,funds management,https://salterbrothers.com.au/funds-management/,href,C
13,Property Funds,Property Funds,a_inner_text,A
13,property funds,https://salterbrothers.com.au/funds-management/property-funds/,href,C
14,Equity Funds,Equity Funds,a_inner_text,A
14,private equity funds,https://salterbrothers.com.au/funds-management/private-equity-funds/,href,C
15,Credit Funds,Credit Funds,a_inner_text,A
15,credit funds,/funds-management/credit-funds/,href,C
16,Decarbonisation,Decarbonisation,a_inner_text,A
16,ksb,https://salterbrothers.com.au/ksb/,href,C
17,Salter Brothers Emerging Companies Ltd,Salter Brothers Emerging Companies Ltd,a_inner_text,A
17,emerging companies,https://salterbrothers.com.au/funds-management/emerging-companies/,href,C
18,Salter Brothers Tech Fund,Salter Brothers Tech Fund,a_inner_text,A
18,techfund,https://salterbrothers.com.au/techfund/,href,C
19,Immigration Investment,Immigration Investment,a_inner_text,A
19,immigration investment,https://salterbrothers.com.au/funds-management/immigration-investment/,href,C
20,Advisory,Advisory,a_inner_text,A
20,advisory,https://salterbrothers.com.au/advisory/,href,C
21,Corporate & Strategic Advisory,Corporate & Strategic Advisory,a_inner_text,A
21,corporate strategic advisory,https://salterbrothers.com.au/advisory/corporate-strategic-advisory/,href,C
22,Mergers & Acquisitions,Mergers & Acquisitions,a_inner_text,A
22,mergers and acquisitions advisory,https://salterbrothers.com.au/advisory/mergers-and-acquisitions-advisory/,href,C
23,Equity Capital Markets,Equity Capital Markets,a_inner_text,A
23,equity capital markets,https://salterbrothers.com.au/advisory/equity-capital-markets/,href,C
24,Debt Capital Markets,Debt Capital Markets,a_inner_text,A
24,debt capital markets,https://salterbrothers.com.au/advisory/debt-capital-markets/,href,C
25,Hospitality,Hospitality,a_inner_text,A
25,hospitality,https://salterbrothers.com.au/hospitality/,href,C
26,Portfolio,Portfolio,a_inner_text,A
26,portfolio,https://salterbrothers.com.au/portfolio/,href,C
27,News & Insights,News & Insights,a_inner_text,A
27,news press,https://salterbrothers.com.au/news-press/,href,C
28,Latest News & Insights,Latest News & Insights,a_inner_text,A
28,news press,https://salterbrothers.com.au/news-press/,href,C
29,Research Reports,Research Reports,a_inner_text,A
29,research reports,https://salterbrothers.com.au/research-reports/,href,C
30,Investor Portals,Investor Portals,a_inner_text,A
30,portals,https://salterbrothers.com.au/portals/,href,C
31,Investor Portal,Investor Portal,a_inner_text,A
31,salterbrothers,https://app.junipersquare.com/i/salterbrothers,href,C
32,Investor Portal (Pre 2024),Investor Portal (Pre 2024),a_inner_text,A
32,investor portal,/investor-portal/,href,C
33,Contact,Contact,a_inner_text,A
33,contact,https://salterbrothers.com.au/contact/,href,C
34,About,About,a_inner_text,A
34,about,https://salterbrothers.com.au/about/,href,C
35,About Us,About Us,a_inner_text,A
35,about,https://salterbrothers.com.au/about/,href,C
36,ESG,ESG,a_inner_text,A
36,about,https://salterbrothers.com.au/about/#esg,href,C
37,Ratings & Awards,Ratings & Awards,a_inner_text,A
37,ratings awards,https://salterbrothers.com.au/ratings-awards/,href,C
38,Our Boards,Our Boards,a_inner_text,A
38,our boards,https://salterbrothers.com.au/about/our-boards/,href,C
39,Our Senior Team,Our Senior Team,a_inner_text,A
39,our team,https://salterbrothers.com.au/about/our-team/,href,C
40,Investors,Investors,a_inner_text,A
40,investors,https://salterbrothers.com.au/investors/,href,C
41,Funds Management,Funds Management,a_inner_text,A
41,funds management,https://salterbrothers.com.au/funds-management/,href,C
42,Property Funds,Property Funds,a_inner_text,A
42,property funds,https://salterbrothers.com.au/funds-management/property-funds/,href,C
43,Equity Funds,Equity Funds,a_inner_text,A
43,private equity funds,https://salterbrothers.com.au/funds-management/private-equity-funds/,href,C
44,Credit Funds,Credit Funds,a_inner_text,A
44,credit funds,/funds-management/credit-funds/,href,C
45,Decarbonisation,Decarbonisation,a_inner_text,A
45,ksb,https://salterbrothers.com.au/ksb/,href,C
46,Salter Brothers Emerging Companies Ltd,Salter Brothers Emerging Companies Ltd,a_inner_text,A
46,emerging companies,https://salterbrothers.com.au/funds-management/emerging-companies/,href,C
47,Salter Brothers Tech Fund,Salter Brothers Tech Fund,a_inner_text,A
47,techfund,https://salterbrothers.com.au/techfund/,href,C
48,Immigration Investment,Immigration Investment,a_inner_text,A
48,immigration investment,https://salterbrothers.com.au/funds-management/immigration-investment/,href,C
49,Advisory,Advisory,a_inner_text,A
49,advisory,https://salterbrothers.com.au/advisory/,href,C
50,Corporate & Strategic Advisory,Corporate & Strategic Advisory,a_inner_text,A
50,corporate strategic advisory,https://salterbrothers.com.au/advisory/corporate-strategic-advisory/,href,C
51,Mergers & Acquisitions,Mergers & Acquisitions,a_inner_text,A
51,mergers and acquisitions advisory,https://salterbrothers.com.au/advisory/mergers-and-acquisitions-advisory/,href,C
52,Equity Capital Markets,Equity Capital Markets,a_inner_text,A
52,equity capital markets,https://salterbrothers.com.au/advisory/equity-capital-markets/,href,C
53,Debt Capital Markets,Debt Capital Markets,a_inner_text,A
53,debt capital markets,https://salterbrothers.com.au/advisory/debt-capital-markets/,href,C
54,Hospitality,Hospitality,a_inner_text,A
54,hospitality,https://salterbrothers.com.au/hospitality/,href,C
55,Portfolio,Portfolio,a_inner_text,A
55,portfolio,https://salterbrothers.com.au/portfolio/,href,C
56,News & Insights,News & Insights,a_inner_text,A
56,news press,https://salterbrothers.com.au/news-press/,href,C
57,Latest News & Insights,Latest News & Insights,a_inner_text,A
57,news press,https://salterbrothers.com.au/news-press/,href,C
58,Research Reports,Research Reports,a_inner_text,A
58,research reports,https://salterbrothers.com.au/research-reports/,href,C
59,Investor Portals,Investor Portals,a_inner_text,A
59,portals,https://salterbrothers.com.au/portals/,href,C
60,Investor Portal,Investor Portal,a_inner_text,A
60,salterbrothers,https://app.junipersquare.com/i/salterbrothers,href,C
61,Investor Portal (Pre 2024),Investor Portal (Pre 2024),a_inner_text,A
61,investor portal,/investor-portal/,href,C
62,Contact,Contact,a_inner_text,A
62,contact,https://salterbrothers.com.au/contact/,href,C
63,All,All,a_inner_text,A
63,,,href,C
64,Hotel Portfolio Australia,Hotel Portfolio Australia,a_inner_text,A
64,,#,href,D
65,Hotel Portfolio USA,Hotel Portfolio USA,a_inner_text,A
65,,#,href,D
66,Hotel Portfolio Japan,Hotel Portfolio Japan,a_inner_text,A
66,,#,href,D
67,Retreats,Retreats,a_inner_text,A
67,,#,href,D
68,Private Equity Investments,Private Equity Investments,a_inner_text,A
68,,#,href,D
69,Residential & Commercial Australia,Residential & Commercial Australia,a_inner_text,A
69,,#,href,D
70,Bannisters Port StephensNew South WalesBannisters Port Stephens is a remodelled hotel and an ode to the glamour days of luxury hotels from the sixties and seventies.,Bannisters Port StephensNew South WalesBannisters Port Stephens is a remodelled hotel and an ode to the glamour days of luxury hotels from the sixties and seventies.,a_inner_text,A
70,bannisters port stephens,https://salterbrothers.com.au/portfolio/bannisters-port-stephens/,href,A
71,NextBannisters Pavilion,NextBannisters Pavilion,a_inner_text,A
71,,#,href,D
72,Go back to the Portfolio page,Go back to the Portfolio page,a_inner_text,A
72,portfolio,/portfolio/,href,C
73,Bannisters PavilionNew South WalesStylish and contemporary rooms and suites located near one of the south coast’s most beautiful beaches makes Bannisters Pavilion the perfect choice for a coastal getaway.,Bannisters PavilionNew South WalesStylish and contemporary rooms and suites located near one of the south coast’s most beautiful beaches makes Bannisters Pavilion the perfect choice for a coastal getaway.,a_inner_text,A
73,bannisters pavilion,https://salterbrothers.com.au/portfolio/bannisters-pavilion/,href,A
74,PreviousBannisters Port Stephens,PreviousBannisters Port Stephens,a_inner_text,A
74,,#,href,D
75,NextBannisters By The Sea,NextBannisters By The Sea,a_inner_text,A
75,,#,href,D
76,Go back to the Portfolio page,Go back to the Portfolio page,a_inner_text,A
76,portfolio,/portfolio/,href,C
77,"Bannisters By The SeaNew South WalesDramatic clifftop views over the glittering ocean, luxury accommodation and superb dining ensure guests have an unforgettable stay.","Bannisters By The SeaNew South WalesDramatic clifftop views over the glittering ocean, luxury accommodation and superb dining ensure guests have an unforgettable stay.",a_inner_text,A
77,bannisters by the sea,https://salterbrothers.com.au/portfolio/bannisters-by-the-sea/,href,A
78,PreviousBannisters Pavilion,PreviousBannisters Pavilion,a_inner_text,A
78,,#,href,D
